,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
0,Ok,16-10-2023 12:39:00,1697440140,19770.15,19771.40,19766.80,19768.40,0.00,0,0,0,0
1,Ok,16-10-2023 12:38:00,1697440080,19772.30,19772.80,19767.30,19769.05,0.00,0,0,0,0
2,Ok,16-10-2023 12:37:00,1697440020,19773.50,19774.65,19771.30,19771.35,0.00,0,0,0,0
3,Ok,16-10-2023 12:36:00,1697439960,19770.55,19773.80,19769.55,19773.10,0.00,0,0,0,0
4,Ok,16-10-2023 12:35:00,1697439900,19772.40,19773.80,19769.30,19769.30,0.00,0,0,0,0
5,Ok,16-10-2023 12:34:00,1697439840,19769.35,19772.90,19767.90,19771.25,0.00,0,0,0,0
6,Ok,16-10-2023 12:33:00,1697439780,19770.40,19771.05,19767.65,19768.65,0.00,0,0,0,0
7,Ok,16-10-2023 12:32:00,1697439720,19771.15,19772.45,19768.70,19769.40,0.00,0,0,0,0
8,Ok,16-10-2023 12:31:00,1697439660,19767.90,19770.20,19766.45,19769.65,0.00,0,0,0,0
9,Ok,16-10-2023 12:30:00,1697439600,19766.85,19769.85,19765.80,19768.00,0.00,0,0,0,0
10,Ok,16-10-2023 12:29:00,1697439540,19767.35,19767.95,19765.70,19766.50,0.00,0,0,0,0
11,Ok,16-10-2023 12:28:00,1697439480,19768.20,19770.35,19767.10,19767.15,0.00,0,0,0,0
12,Ok,16-10-2023 12:27:00,1697439420,19767.05,19768.80,19765.50,19768.30,0.00,0,0,0,0
13,Ok,16-10-2023 12:26:00,1697439360,19767.10,19768.85,19765.45,19766.35,0.00,0,0,0,0
14,Ok,16-10-2023 12:25:00,1697439300,19765.90,19768.45,19765.35,19767.20,0.00,0,0,0,0
15,Ok,16-10-2023 12:24:00,1697439240,19765.10,19765.95,19763.20,19765.75,0.00,0,0,0,0
16,Ok,16-10-2023 12:23:00,1697439180,19760.10,19767.30,19759.65,19765.35,0.00,0,0,0,0
17,Ok,16-10-2023 12:22:00,1697439120,19760.65,19761.05,19758.65,19759.45,0.00,0,0,0,0
18,Ok,16-10-2023 12:21:00,1697439060,19760.65,19762.10,19759.05,19760.05,0.00,0,0,0,0
19,Ok,16-10-2023 12:20:00,1697439000,19760.00,19761.65,19758.50,19760.25,0.00,0,0,0,0
20,Ok,16-10-2023 12:19:00,1697438940,19758.30,19761.65,19758.10,19759.45,0.00,0,0,0,0
21,Ok,16-10-2023 12:18:00,1697438880,19759.05,19761.10,19755.50,19758.50,0.00,0,0,0,0
22,Ok,16-10-2023 12:17:00,1697438820,19760.35,19762.45,19757.20,19758.45,0.00,0,0,0,0
23,Ok,16-10-2023 12:16:00,1697438760,19759.05,19761.30,19757.15,19760.85,0.00,0,0,0,0
24,Ok,16-10-2023 12:15:00,1697438700,19761.05,19762.45,19756.65,19759.45,0.00,0,0,0,0
25,Ok,16-10-2023 12:14:00,1697438640,19762.70,19764.00,19760.50,19762.00,0.00,0,0,0,0
26,Ok,16-10-2023 12:13:00,1697438580,19763.30,19765.25,19760.75,19762.85,0.00,0,0,0,0
27,Ok,16-10-2023 12:12:00,1697438520,19766.10,19766.30,19761.65,19763.80,0.00,0,0,0,0
28,Ok,16-10-2023 12:11:00,1697438460,19766.20,19767.75,19765.00,19766.80,0.00,0,0,0,0
29,Ok,16-10-2023 12:10:00,1697438400,19767.80,19768.75,19765.60,19766.05,0.00,0,0,0,0
30,Ok,16-10-2023 12:09:00,1697438340,19765.55,19768.70,19765.10,19767.40,0.00,0,0,0,0
31,Ok,16-10-2023 12:08:00,1697438280,19763.20,19766.80,19761.65,19766.35,0.00,0,0,0,0
32,Ok,16-10-2023 12:07:00,1697438220,19760.00,19763.95,19759.45,19763.00,0.00,0,0,0,0
33,Ok,16-10-2023 12:06:00,1697438160,19760.80,19764.45,19759.30,19760.30,0.00,0,0,0,0
34,Ok,16-10-2023 12:05:00,1697438100,19760.00,19762.40,19757.30,19761.95,0.00,0,0,0,0
35,Ok,16-10-2023 12:04:00,1697438040,19763.05,19763.30,19757.55,19760.35,0.00,0,0,0,0
36,Ok,16-10-2023 12:03:00,1697437980,19764.65,19767.10,19762.85,19763.00,0.00,0,0,0,0
37,Ok,16-10-2023 12:02:00,1697437920,19770.90,19771.95,19764.55,19765.75,0.00,0,0,0,0
38,Ok,16-10-2023 12:01:00,1697437860,19769.85,19773.15,19768.30,19770.60,0.00,0,0,0,0
39,Ok,16-10-2023 12:00:00,1697437800,19766.35,19771.35,19766.35,19770.05,0.00,0,0,0,0
40,Ok,16-10-2023 11:59:00,1697437740,19764.70,19767.85,19764.70,19766.70,0.00,0,0,0,0
41,Ok,16-10-2023 11:58:00,1697437680,19767.30,19767.30,19763.30,19764.85,0.00,0,0,0,0
42,Ok,16-10-2023 11:57:00,1697437620,19762.75,19768.25,19762.70,19766.70,0.00,0,0,0,0
43,Ok,16-10-2023 11:56:00,1697437560,19762.80,19763.95,19759.85,19762.85,0.00,0,0,0,0
44,Ok,16-10-2023 11:55:00,1697437500,19765.15,19765.80,19761.45,19762.40,0.00,0,0,0,0
45,Ok,16-10-2023 11:54:00,1697437440,19769.40,19770.80,19765.05,19765.05,0.00,0,0,0,0
46,Ok,16-10-2023 11:53:00,1697437380,19768.55,19771.25,19768.15,19769.05,0.00,0,0,0,0
47,Ok,16-10-2023 11:52:00,1697437320,19767.50,19769.25,19766.50,19767.75,0.00,0,0,0,0
48,Ok,16-10-2023 11:51:00,1697437260,19766.70,19770.00,19765.15,19767.30,0.00,0,0,0,0
49,Ok,16-10-2023 11:50:00,1697437200,19771.05,19771.55,19765.15,19766.40,0.00,0,0,0,0
50,Ok,16-10-2023 11:49:00,1697437140,19775.60,19775.60,19769.65,19771.40,0.00,0,0,0,0
51,Ok,16-10-2023 11:48:00,1697437080,19772.40,19778.00,19772.40,19773.25,0.00,0,0,0,0
52,Ok,16-10-2023 11:47:00,1697437020,19779.15,19779.15,19768.65,19772.35,0.00,0,0,0,0
53,Ok,16-10-2023 11:46:00,1697436960,19773.85,19780.50,19771.95,19778.65,0.00,0,0,0,0
54,Ok,16-10-2023 11:45:00,1697436900,19773.35,19773.90,19770.50,19773.05,0.00,0,0,0,0
55,Ok,16-10-2023 11:44:00,1697436840,19759.00,19775.55,19758.25,19773.25,0.00,0,0,0,0
56,Ok,16-10-2023 11:43:00,1697436780,19760.10,19762.05,19758.75,19758.75,0.00,0,0,0,0
57,Ok,16-10-2023 11:42:00,1697436720,19758.95,19760.70,19757.00,19759.65,0.00,0,0,0,0
58,Ok,16-10-2023 11:41:00,1697436660,19757.05,19759.55,19755.65,19758.70,0.00,0,0,0,0
59,Ok,16-10-2023 11:40:00,1697436600,19762.70,19764.70,19757.20,19757.20,0.00,0,0,0,0
60,Ok,16-10-2023 11:39:00,1697436540,19753.00,19762.75,19751.45,19762.75,0.00,0,0,0,0
61,Ok,16-10-2023 11:38:00,1697436480,19755.35,19756.10,19751.95,19753.10,0.00,0,0,0,0
62,Ok,16-10-2023 11:37:00,1697436420,19757.65,19758.65,19755.85,19755.85,0.00,0,0,0,0
63,Ok,16-10-2023 11:36:00,1697436360,19758.85,19760.05,19757.60,19757.60,0.00,0,0,0,0
64,Ok,16-10-2023 11:35:00,1697436300,19759.25,19760.70,19758.40,19759.50,0.00,0,0,0,0
65,Ok,16-10-2023 11:34:00,1697436240,19757.05,19759.75,19756.95,19758.75,0.00,0,0,0,0
66,Ok,16-10-2023 11:33:00,1697436180,19755.75,19758.15,19754.40,19756.85,0.00,0,0,0,0
67,Ok,16-10-2023 11:32:00,1697436120,19756.20,19756.40,19754.15,19755.80,0.00,0,0,0,0
68,Ok,16-10-2023 11:31:00,1697436060,19753.55,19756.35,19753.20,19756.15,0.00,0,0,0,0
69,Ok,16-10-2023 11:30:00,1697436000,19749.00,19754.15,19747.75,19753.95,0.00,0,0,0,0
70,Ok,16-10-2023 11:29:00,1697435940,19745.00,19749.70,19745.00,19748.35,0.00,0,0,0,0
71,Ok,16-10-2023 11:28:00,1697435880,19748.15,19748.30,19743.70,19744.75,0.00,0,0,0,0
72,Ok,16-10-2023 11:27:00,1697435820,19746.15,19749.50,19745.90,19748.10,0.00,0,0,0,0
73,Ok,16-10-2023 11:26:00,1697435760,19745.75,19746.80,19744.95,19745.70,0.00,0,0,0,0
74,Ok,16-10-2023 11:25:00,1697435700,19745.45,19746.75,19744.70,19745.65,0.00,0,0,0,0
75,Ok,16-10-2023 11:24:00,1697435640,19749.25,19749.25,19744.25,19745.25,0.00,0,0,0,0
76,Ok,16-10-2023 11:23:00,1697435580,19747.30,19749.95,19746.70,19749.45,0.00,0,0,0,0
77,Ok,16-10-2023 11:22:00,1697435520,19745.10,19750.00,19745.10,19747.45,0.00,0,0,0,0
78,Ok,16-10-2023 11:21:00,1697435460,19740.10,19745.70,19738.10,19744.95,0.00,0,0,0,0
79,Ok,16-10-2023 11:20:00,1697435400,19741.45,19741.80,19739.45,19740.65,0.00,0,0,0,0
80,Ok,16-10-2023 11:19:00,1697435340,19737.90,19742.10,19737.90,19741.25,0.00,0,0,0,0
81,Ok,16-10-2023 11:18:00,1697435280,19737.45,19737.65,19735.30,19737.40,0.00,0,0,0,0
82,Ok,16-10-2023 11:17:00,1697435220,19734.55,19736.40,19731.30,19736.25,0.00,0,0,0,0
83,Ok,16-10-2023 11:16:00,1697435160,19738.90,19739.10,19734.85,19734.85,0.00,0,0,0,0
